Thời gian cào:    Thu Oct 02 2025 22:20:03 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@xuanthuc8724/video/7486775270612028692
Người đăng:          Điện Máy Thức Lý
Tag người đăng:      xuanthuc8724
URL người đăng:      https://www.tiktok.com/@xuanthuc8724
Thời gian đăng:      28-3-2025
Số lượt tym:         26
Số lượt comment:     3
Số lượt lưu:         2
Số lượt share:       5
Mô tả của bài đăng:  "Trăm nghìn nghề không chọn,đi chọn nghề vất vả nhất.#xuanthuc"
Số bình luận cấp 1:  3
Số bình luận cấp 2:  0
Tổng số bình luận thực tế đã load:  3
Số bình luận TikTok hiển thị:       3
Chênh lệch số bình luận:            0
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
1,"trường sửa xe","trường sửa xe",https://www.tiktok.com/@trường sửa xe,"🥰",24-7-2025,1,No,---,0
2,"𝓑𝓲 𝓓𝓮̣𝓹 𝓽𝓻𝓪𝓲","𝓑𝓲 𝓓𝓮̣𝓹 𝓽𝓻𝓪𝓲",https://www.tiktok.com/@𝓑𝓲 𝓓𝓮̣𝓹 𝓽𝓻𝓪𝓲,"🤣🤣🤣",28-3-2025,1,No,---,0
3,"nguyễn duong","nguyễn duong",https://www.tiktok.com/@nguyễn duong,"😁",23-8-2025,0,No,---,0
