Thời gian cào:    Fri Nov 07 2025 14:09:34 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hoanggleee/video/7386865350735875344
Người đăng:          Hoangglee
Tag người đăng:      @hoanggleee
URL người đăng:      https://www.tiktok.com/@hoanggleee
Thời gian đăng:      2-7-2024
Số lượt tym:         26.5K
Số lượt comment:     317
Số lượt lưu:         499
Số lượt share:       N/A
Mô tả của bài đăng:  "Học phí ở NEU đắt không? #fyp #xuhuong #learnontiktok #hoccungtiktok #daihoc #neu. ẩn bớt"
Số bình luận cấp 1:  199
Số bình luận cấp 2:  23
Tổng số bình luận thực tế đã load:  222
Số bình luận TikTok hiển thị:       317
Chênh lệch số bình luận:            95
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
1,"ghét nấu cơm 🍁","ghét nấu cơm 🍁",https://www.tiktok.com/@ghét nấu cơm 🍁,"ôi zl Neu rẻ v hả",7-7-2024,14,No,---,7
2,"Bee Pi","Bee Pi",https://www.tiktok.com/@Bee Pi,"neu h 600k/tín r😞",8-7-2024,20,Yes,"fjng278?lang=vi-VN",0
3,"Hồng Quang","Hồng Quang",https://www.tiktok.com/@Hồng Quang,"650k rồi b",10-8-2024,3,Yes,"fjng278?lang=vi-VN",0
4,"Cáu bẩn mà mít ướt😡🥺","Cáu bẩn mà mít ướt😡🥺",https://www.tiktok.com/@Cáu bẩn mà mít ướt😡🥺,"Sv Neu confirm 600k/tín nhé:))",12-8-2024,1,Yes,"fjng278?lang=vi-VN",0
5,"Hồng Quang","Hồng Quang",https://www.tiktok.com/@Hồng Quang,"tăng r b",12-8-2024,1,Yes,"fjng278?lang=vi-VN",0
6,"piaydi","piaydi",https://www.tiktok.com/@piaydi,"tăng khi nào z?",14-8-2024,0,Yes,"fjng278?lang=vi-VN",0
7,"Hồng Quang","Hồng Quang",https://www.tiktok.com/@Hồng Quang,"ct học từ xa b",14-8-2024,0,Yes,"fjng278?lang=vi-VN",0
8,"Hồng Quang","Hồng Quang",https://www.tiktok.com/@Hồng Quang,"học từ xa 650k rồi bạn ơi",14-8-2024,0,Yes,"fjng278?lang=vi-VN",0
9,"Tớ là phanh🌸","Tớ là phanh🌸",https://www.tiktok.com/@Tớ là phanh🌸,"Sao 20tr 1 năm mà 4 năm rưỡi 64tr đc ạ?",8-7-2024,1,No,---,2
10,"Im not Huy","Im not Huy",https://www.tiktok.com/@Im not Huy,"Có năm học nhiều môn nhiều tín thì 20 chứ có năm học ít thì ít hơn 20 nên tổng mới 64",27-7-2024,0,Yes,"nguyn_phuong_anh?lang=vi-VN",0
11,"Quang","Quang",https://www.tiktok.com/@Quang,"tín chỉ mà bạn 140 tín x400",8-7-2024,0,Yes,"nguyn_phuong_anh?lang=vi-VN",0
12,"༺Nam༒lầy༻","༺Nam༒lầy༻",https://www.tiktok.com/@༺Nam༒lầy༻,"A trượt bn môn z a?",2-7-2024,35,No,---,4
13,"Hoangglee","Hoangglee",https://www.tiktok.com/@Hoangglee,"2 môn nha, nhưng có môn a học 3 lần mới qua =)))",2-7-2024,79,Yes,"saiboy222?lang=vi-VN",0
14,"༺Nam༒lầy༻","༺Nam༒lầy༻",https://www.tiktok.com/@༺Nam༒lầy༻,"E cũng z nhưng e nợ lắm quá 20tín🥺",2-7-2024,3,Yes,"saiboy222?lang=vi-VN",0
15,"Vanwek (´∀｀)","Vanwek (´∀｀)",https://www.tiktok.com/@Vanwek (´∀｀),"Cố gắng bạn ơi để rớt nhiều dễ nản",5-7-2024,1,Yes,"saiboy222?lang=vi-VN",0
16,"༺Nam༒lầy༻","༺Nam༒lầy༻",https://www.tiktok.com/@༺Nam༒lầy༻,"Mk vẫn cố gắng bạn ạ🥺",5-7-2024,0,Yes,"saiboy222?lang=vi-VN",0
17,"minhhieu75862","minhhieu75862",https://www.tiktok.com/@minhhieu75862,"Cho mình hỏi ctrinh clc có tăng học phí theo năm ko vậy?🥲",29-7-2024,0,No,---,1
18,"cố nhân u sầu","cố nhân u sầu",https://www.tiktok.com/@cố nhân u sầu,"Có đó b",13-12-2024,0,Yes,"minhhieu75862?lang=vi-VN",0
