Thời gian cào:    Fri Nov 07 2025 14:11:15 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@thaihoa_entertainment/video/7524182856457800980
Người đăng:          Thái Hoà Entertainment
Tag người đăng:      @thaihoa_entertainment
URL người đăng:      https://www.tiktok.com/@thaihoa_entertainment
Thời gian đăng:      7-7-2025
Số lượt tym:         4533
Số lượt comment:     233
Số lượt lưu:         1134
Số lượt share:       N/A
Mô tả của bài đăng:  "HỌC PHÍ ĐẠI HỌC 2025: “LỘ TRÌNH TĂNG KHÔNG PHANH” - CÁC CHIẾN BINH 2K7 THI ĐẬU ĐẠI HỌC GIỜ CHỈ MỚI LÀ BƯỚC 1!. #HọcPhíĐạiHọc #ThuHọcPhí #HọcPhíGiáoDụcĐạiHọc #ĐạiHọcCôngLập#TháiHoàEntertainment. ẩn bớt"
Số bình luận cấp 1:  112
Số bình luận cấp 2:  18
Tổng số bình luận thực tế đã load:  130
Số bình luận TikTok hiển thị:       233
Chênh lệch số bình luận:            103
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
1,"Yang-.-","Yang-.-",https://www.tiktok.com/@Yang-.-,"Năm heo khổ nhất VN :))",8-7-2025,221,No,---,4
2,"coconut","coconut",https://www.tiktok.com/@coconut,"heo vàng đâu hok thấy thấy cày như trâu z đó",8-7-2025,20,Yes,"conmeobietbay10?lang=vi-VN",0
3,"chưa gặp ai trùng tên","chưa gặp ai trùng tên",https://www.tiktok.com/@chưa gặp ai trùng tên,"heo này 3 bích",8-7-2025,5,Yes,"conmeobietbay10?lang=vi-VN",0
4,"thanh tú","thanh tú",https://www.tiktok.com/@thanh tú,"😭😭😭😭",9-7-2025,0,Yes,"conmeobietbay10?lang=vi-VN",0
5,"Ân Hoàng1988","Ân Hoàng1988",https://www.tiktok.com/@Ân Hoàng1988,"Heo đất😆",8-8-2025,0,Yes,"conmeobietbay10?lang=vi-VN",0
6,"Dihao có mích chờ","Dihao có mích chờ",https://www.tiktok.com/@Dihao có mích chờ,"C00 27-28.25 ổn kh mn",8-7-2025,1,No,---,7
7,"kẻ qua đường","kẻ qua đường",https://www.tiktok.com/@kẻ qua đường,"chỉ có văn cao ms cạnh tranh đc tại hai môn kia dễ",14-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
8,"Đứa trẻ đang tập lớn~","Đứa trẻ đang tập lớn~",https://www.tiktok.com/@Đứa trẻ đang tập lớn~,"24-26 nhột nhột",9-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
9,"Dihao có mích chờ","Dihao có mích chờ",https://www.tiktok.com/@Dihao có mích chờ,"vậy thì b định học trường nào",9-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
10,"Trân","Trân",https://www.tiktok.com/@Trân,"bà học j ghê dị bà nội",8-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
11,"Dihao có mích chờ","Dihao có mích chờ",https://www.tiktok.com/@Dihao có mích chờ,"avt la bạn gái tui",8-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
12,"Dihao có mích chờ","Dihao có mích chờ",https://www.tiktok.com/@Dihao có mích chờ,"tui con trai",8-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
13,"Trân","Trân",https://www.tiktok.com/@Trân,"đỡ cái mặt ra luôn",8-7-2025,0,Yes,"qwrecuucuu?lang=vi-VN",0
14,"꧁༺Đạ𝙤☬𝙏𝙝𝙞ê𝙣༻꧂","꧁༺Đạ𝙤☬𝙏𝙝𝙞ê𝙣༻꧂",https://www.tiktok.com/@꧁༺Đạ𝙤☬𝙏𝙝𝙞ê𝙣༻꧂,"xét học bạ vào đh. giáo dục bây giờ phân hoá giàu nghèo. nhà ai giàu thì đi học. xã hội sau này cũng vậy thoii",7-7-2025,2,No,---,3
15,"Tôi viết truyện nè","Tôi viết truyện nè",https://www.tiktok.com/@Tôi viết truyện nè,"cái nào không phân hoá giàu nghèo, nhà nước hỗ trợ giáo dục phổ thông thôi chứ nâng cao là nhu cầu phát triển riêng của cá nhân",8-7-2025,0,Yes,"harding6789?lang=vi-VN",0
16,"Không còn rung động với Hoá!","Không còn rung động với Hoá!",https://www.tiktok.com/@Không còn rung động với Hoá!,"Quan trọng là năm sau mới được nhà nước hỗ trợ gd thpt, 2k7 có được hưởng gì đâu nhưng lại gánh khoản học phí đại học tăng, khác nào phân hoá giàu nghèo?",8-7-2025,1,Yes,"harding6789?lang=vi-VN",0
17,"Cô gái thích cười","Cô gái thích cười",https://www.tiktok.com/@Cô gái thích cười,"Mấy thế hệ trước cũng có hưởng được đồng nào? Học phí năm nào cũng tăng chứ có phải mỗi năm nay đâu. Không có điều kiện học Đại học thi cao đẳng, nghề. Khiếp, đóng vai nạn nhân riết tưởng mỗi mình khổ à?",11-7-2025,0,Yes,"harding6789?lang=vi-VN",0
